gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
1,A1BG,3.49,4.17,3.98,6.46,7.89,7.35,220.65,256.74,237.5
2,A2M,0.09,0.02,0.07,0.16,0.04,0.13,8,2,6
9,NAT1,11.93,39.5,26.87,22.1,74.72,49.62,427,1410.02,953.01
10,NAT2,0.17,2.81,3.71,0.32,5.32,6.85,4,65.98,81.99
12,SERPINA3,0.59,0.96,1.02,1.09,1.81,1.89,17,27,28
14,AAMP,62.39,53.18,52.86,115.53,100.6,97.62,2030,1682,1621
15,AANAT,0.11,0.12,0.21,0.21,0.22,0.4,5,9,14
16,AARS1,130.54,85.16,93.79,241.74,161.1,173.19,8397,5327,5686
18,ABAT,6.03,8.45,7.57,11.17,15.99,13.99,543,738,642
19,ABCA1,0.04,0.13,0.11,0.08,0.25,0.21,8,25,21
20,ABCA2,22.52,30.54,32.91,41.71,57.77,60.78,3416,4503,4697
21,ABCA3,19.36,9.87,10.24,35.86,18.67,18.91,2409,1194,1201
22,ABCB7,6.74,5.7,6.09,12.48,10.78,11.24,577.95,477.66,492.05
23,ABCF1,33.52,38.26,40.26,62.08,72.39,74.35,2136,2371,2418
24,ABCA4,0.02,0.18,0.17,0.04,0.34,0.31,3,24,22
25,ABL1,15.3,16.43,18.88,28.32,31.07,34.87,1663,1751,1938
26,AOC1,0.22,0.87,1.35,0.41,1.65,2.49,10,38,58
27,ABL2,2.09,2.16,2.05,3.87,4.08,3.78,460.64,464.69,429.22
28,ABO,0.02,0.03,0.01,0.03,0.05,0.02,2.03,3.03,1.02
29,ABR,12.26,14.51,14.92,22.69,27.46,27.56,1094.81,1231.49,1299.8
30,ACAA1,55.84,81.58,79.77,103.4,154.32,147.3,1737.27,2471.85,2346.17
31,ACACA,51.91,33.49,31.01,96.13,63.36,57.25,9376.24,5893.17,5285.86
32,ACACB,1.03,0.72,0.93,1.91,1.36,1.71,167.1,114.2,140.53
33,ACADL,7.16,10.88,10.16,13.26,20.59,18.76,344,543,489
34,ACADM,27.04,35.77,29.38,50.08,67.67,54.24,1156,1466,1167
35,ACADS,12.6,19.18,23.8,23.33,36.28,43.96,433,641,771
36,ACADSB,15.32,15.99,13.57,28.37,30.24,25.07,1685.22,1711.77,1405.49
37,ACADVL,230.55,290.65,318.94,426.94,549.84,588.96,9448.85,11550.29,12307.52
38,ACAT1,113.44,170.58,146.82,210.07,322.68,271.11,3216.48,4708.92,3934.2
39,ACAT2,42.28,31.91,26.01,78.3,60.36,48.02,1186.75,869.54,687.13
41,ASIC1,8.87,8.94,10.5,16.43,16.92,19.4,627,614,691
43,ACHE,0.42,0.77,0.81,0.79,1.46,1.5,22,41,39
47,ACLY,143.51,97.95,96.84,265.75,185.3,178.83,11586,7686,7367
48,ACO1,16.41,18.37,17.77,30.39,34.74,32.82,1082.32,1194.94,1130.06
49,ACR,0.04,0.08,0.12,0.07,0.15,0.22,1,2,3
50,ACO2,88.49,67.35,78.87,163.86,127.41,145.64,4519.62,3341.41,3793.72
51,ACOX1,7.47,10.36,9.96,13.83,19.6,18.38,1038.54,1383.69,1296.96
52,ACP1,56.47,42.34,34.68,104.56,80.1,64.04,1539,1126,894
53,ACP2,41.58,32,36.78,77,60.54,67.91,1628,1216,1357
54,ACP5,0.21,1.12,1.68,0.39,2.12,3.1,6,32,42
55,ACP3,2.8,2.55,2.46,5.19,4.82,4.53,142.51,118.37,115.24
56,ACRV1,0.09,0.23,0.12,0.17,0.43,0.22,3,8,4
58,ACTA1,0.11,0.21,0.17,0.21,0.4,0.31,3.1,5.56,4.28
59,ACTA2,1.22,4.87,5.71,2.25,9.22,10.54,34.62,151.74,161.89
60,ACTB,2289.04,2624.08,2836.93,4238.86,4964.05,5238.69,76618.44,85417.25,89499.82
70,ACTC1,0.04,0.12,0.08,0.07,0.23,0.15,1.01,2.98,2
71,ACTG1,858.87,1576.95,1699.28,1590.47,2983.16,3137.89,30502.35,54468.29,56881.91
72,ACTG2,4.62,7.51,8.06,8.56,14.21,14.89,117.25,184.64,191.93
81,ACTN4,110.78,119.78,141.27,205.15,226.59,260.87,7977.04,8420.75,9594.17
86,ACTL6A,55.57,66.69,54.48,102.9,126.17,100.6,1881.98,2197.54,1747.09
87,ACTN1,63.53,63.31,69.57,117.64,119.76,128.47,4359.96,4233.25,4497.83
88,ACTN2,0.02,0.02,0.01,0.04,0.04,0.02,2,2,1
89,ACTN3,0.05,0.02,0.1,0.1,0.03,0.18,3,1,5
90,ACVR1,4.17,4.49,5.24,7.72,8.5,9.68,243,261.96,296
91,ACVR1B,11.23,18.95,18.59,20.79,35.85,34.33,956,1569,1483
92,ACVR2A,1.53,2.78,2.48,2.83,5.26,4.58,149.04,266.58,232.78
93,ACVR2B,0.45,0.54,0.56,0.83,1.03,1.03,99.03,117.37,116.3
94,ACVRL1,0.11,0.88,1.13,0.2,1.66,2.09,7.7,64.6,80.11
95,ACY1,168.86,120.19,134.49,312.69,227.37,248.35,4290,2950,3190
97,ACYP1,5.2,4.46,4.8,9.63,8.44,8.87,58,46,48
98,ACYP2,5.85,7.25,7.55,10.83,13.72,13.94,138.17,160.21,157.19
100,ADA,7.91,9.29,9.19,14.65,17.57,16.97,217,247,237
101,ADAM8,0.36,0.79,1.15,0.67,1.49,2.12,22,47,63
102,ADAM10,23.7,28.17,24.07,43.88,53.29,44.45,2202.25,2553.45,2116.41
103,ADAR,38.08,54.1,61.11,70.51,102.34,112.85,4611.15,6344.84,6941.4
104,ADARB1,4.75,5.47,6.43,8.8,10.35,11.87,464.34,531.52,544.9
105,ADARB2,0.03,0.16,0.11,0.05,0.3,0.2,4.03,25.08,16.06
107,ADCY1,1.54,2.02,2.19,2.86,3.82,4.04,199.22,156.8,156.49
108,ADCY2,0.03,0,0.02,0.05,0,0.04,3.31,0,2.33
109,ADCY3,6.25,3.74,4.1,11.57,7.08,7.57,524.85,294.05,306.33
111,ADCY5,0.11,0.19,0.19,0.21,0.37,0.35,11,18,17
112,ADCY6,4.72,7.45,6.73,8.74,14.1,12.43,543.56,833.72,730.09
113,ADCY7,2.15,2.24,2.03,3.97,4.25,3.76,233.07,231.7,196.04
115,ADCY9,6.07,4.51,4.26,11.24,8.54,7.87,878,641.98,581.57
117,ADCYAP1R1,0,0.01,0.01,0,0.02,0.02,0,1,1
118,ADD1,37.33,45.77,49.12,69.12,86.58,90.71,2778,3315,3442
119,ADD2,0.09,0.01,0.01,0.16,0.02,0.03,6,1.49,2.19
120,ADD3,8.05,24.44,23.79,14.91,46.24,43.94,647,1898,1788
123,PLIN2,0.06,0.15,0.27,0.12,0.28,0.51,2,5,8
125,ADH1B,0.04,0.1,0.16,0.08,0.18,0.3,3.18,7.1,11.53
126,ADH1C,0.13,3.11,3.6,0.24,5.88,6.64,3.52,80.61,90.39
127,ADH4,0.11,0.17,0.04,0.2,0.31,0.07,4,6,1.28
128,ADH5,34.22,48.98,44.01,63.36,92.66,81.27,1691,2354,2050
130,ADH6,0,0.02,0.05,0,0.04,0.09,0,1,3
132,ADK,47.9,15.3,11.54,88.69,28.95,21.31,1717.95,540.67,383.74
133,ADM,0.37,0.19,0.23,0.68,0.36,0.43,10,5,6
134,ADORA1,0.24,0.15,0.18,0.44,0.29,0.33,12,8,9
135,ADORA2A,3.14,2.72,3.31,5.81,5.15,6.1,144,123,143
136,ADORA2B,7.16,5.38,4.8,13.26,10.17,8.86,252.24,183.98,163.55
140,ADORA3,0,0.04,0.05,0,0.08,0.09,0,1,1
141,ADPRH,0,0.02,0,0,0.03,0,0,1,0
142,PARP1,96.25,84.56,81.39,178.24,159.96,150.29,7180,6134,5722
143,PARP4,22.53,40.27,40.14,41.73,76.18,74.12,2305,4009,3872.45
147,ADRA1B,0.08,0.04,0.08,0.15,0.07,0.15,4.53,3.03,4.44
148,ADRA1A,0.29,0.32,0.31,0.54,0.61,0.57,17.95,18.53,22
150,ADRA2A,0.74,0.71,0.7,1.38,1.34,1.29,54,50,48
151,ADRA2B,0.06,0.25,0.17,0.11,0.48,0.31,4,17,11
152,ADRA2C,0.65,0.47,0.53,1.21,0.88,0.99,26,18,20
153,ADRB1,0.93,1.14,1.44,1.73,2.16,2.66,53,63,77
154,ADRB2,22.29,35.82,33.8,41.27,67.77,62.42,831,1299,1188
155,ADRB3,0,0.02,0,0,0.04,0,0,1,0
156,GRK2,94.47,72.1,74.43,174.94,136.4,137.45,5796,4306,4293
157,GRK3,2.03,2.4,2.32,3.75,4.55,4.29,277.32,310.59,271.06
158,ADSL,71.15,64.73,70.16,131.75,122.45,129.55,2185.7,1913.05,2009.43
159,ADSS2,21.81,15.93,13.71,40.4,30.13,25.32,1040,737,615
160,AP2A1,46.8,56.11,64.78,86.66,106.15,119.63,2942.61,3432.27,3834.95
161,AP2A2,36.65,35.61,36.84,67.86,67.36,68.03,2913.91,2902.89,2937.46
162,AP1B1,52.11,56.78,63.71,96.5,107.41,117.65,4034,4279,4646
163,AP2B1,59.36,75.08,85.52,109.91,142.02,157.93,6329,7803,8601
164,AP1G1,18.95,19.8,18.51,35.1,37.45,34.18,2359,2396,2171
165,AEBP1,0.24,0.87,0.99,0.44,1.64,1.83,18,64,71
166,TLE5,192.68,214.97,242.56,356.81,406.66,447.92,6386,6914,7571
167,CRISP1,0.03,0,0,0.05,0,0,1,0,0
175,AGA,10.14,21.21,20.03,18.78,40.13,36.99,383,780,713
176,ACAN,0.02,0.09,0.14,0.03,0.16,0.26,3,14,22
177,AGER,0.66,0.95,0.82,1.22,1.79,1.51,16,23,19
178,AGL,6.39,5.46,4.82,11.84,10.33,8.91,810,654,588
182,JAG1,5.09,5.87,4.84,9.42,11.1,8.93,569,638,510
183,AGT,1.86,3.12,3.95,3.44,5.9,7.29,73,119,146
189,AGXT,0.6,0.52,0.59,1.12,0.99,1.09,32.61,27.43,30.2
190,NR0B1,0.03,0,0,0.06,0,0,1,0,0
191,AHCY,232.19,197.02,221.27,429.98,372.7,408.6,9285.36,7748.39,8395.62
196,AHR,1.47,2.67,3.06,2.72,5.05,5.66,172.85,305.09,339.56
197,AHSG,0.35,0.39,0.19,0.64,0.74,0.36,10,11,5
199,AIF1,0,0.1,0,0,0.18,0,0,1,0
202,CRYBG1,7.01,3.94,3.91,12.98,7.44,7.22,1208.92,661.63,637.02
203,AK1,84.67,160.97,164.08,156.79,304.52,302.99,1762.91,3236.92,3212.14
204,AK2,166.36,111.72,108.11,308.07,211.34,199.64,5669.01,3613.98,3335.03
205,AK4,31.88,31.07,26.07,59.03,58.77,48.14,4120.32,3902.98,3175
207,AKT1,107.69,95.27,93.22,199.42,180.23,172.14,5618.16,4823.51,4574.03
208,AKT2,49.88,50.05,52.55,92.36,94.68,97.03,3788,3646.98,3834.27
210,ALAD,14.75,21.81,20.82,27.31,41.26,38.45,869,1250,1157
211,ALAS1,42.07,61.33,58.38,77.9,116.02,107.8,1778,2530,2333
213,ALB,0.07,0.05,0.05,0.13,0.09,0.09,3,2,2
214,ALCAM,21.75,42.29,38.19,40.28,79.99,70.53,1909,3601,3132
215,ABCD1,40.65,38.72,46.9,75.28,73.25,86.6,2794,2588,3038
216,ALDH1A1,0.03,0.03,0.03,0.05,0.05,0.05,1,1,1
217,ALDH2,4.1,6.12,5.51,7.6,11.58,10.17,741.21,1073.4,937.23
218,ALDH3A1,0.29,0.72,1.13,0.54,1.37,2.09,14,32.34,42.81
219,ALDH1B1,54.77,36.23,31.46,101.43,68.53,58.1,3096.23,1990.86,1676.39
220,ALDH1A3,15.81,42.89,36.58,29.27,81.13,67.54,954,2522,2091
221,ALDH3B1,1.45,2.83,3.27,2.69,5.35,6.04,73.05,143.56,161.04
222,ALDH3B2,37.88,47.95,65.12,70.15,90.71,120.24,1868.78,2311.61,2992.64
223,ALDH9A1,40.44,60.39,61.13,74.89,114.25,112.89,1882,2733,2682
224,ALDH3A2,35.47,41.03,40.9,65.69,77.62,75.52,2470.22,2772.65,2691.32
225,ABCD2,0.05,0.07,0.06,0.09,0.13,0.12,11.93,12.98,15.41
226,ALDOA,1119.78,1210.48,1417.31,2073.61,2289.91,2617.21,30813.61,32373.02,36702.5
229,ALDOB,0.02,0.02,0.05,0.04,0.04,0.09,1,1,2
230,ALDOC,48.8,91.58,114.62,90.36,173.25,211.66,1472,2681,3233
231,AKR1B1,0.48,1.06,0.68,0.89,2.01,1.26,12,27,16
238,ALK,0.04,0.07,0.25,0.08,0.14,0.46,3,6,12
239,ALOX12,0.64,1.6,1.61,1.18,3.03,2.96,47,119,114
240,ALOX5,0.27,1.59,1.07,0.5,3.02,1.98,12,70,47
242,ALOX12B,0.73,0.59,0.79,1.34,1.12,1.46,34,27,35
246,ALOX15,70.59,128.32,140.32,130.73,242.74,259.12,3549.09,6273.71,6649.17
247,ALOX15B,0.18,0.92,1.37,0.34,1.74,2.53,9,42,65
248,ALPI,0,0.08,0.04,0,0.16,0.06,0,5,2
249,ALPL,0.02,0,0.03,0.05,0,0.05,1,0,1
250,ALPP,0,0.08,0.03,0,0.14,0.06,0,3.75,1.63
251,ALPG,0.04,0.04,0.07,0.08,0.08,0.13,2,2,3
257,ALX3,1.38,2.47,2.26,2.56,4.68,4.17,50,87,77
259,AMBP,0.09,0.18,0.18,0.16,0.34,0.34,2,4,4
262,AMD1,248.54,231.68,146.64,460.25,438.28,270.78,15906,14402,8829
265,AMELX,0.09,0.02,0,0.17,0.04,0,4.13,2.83,0
267,AMFR,30.92,34.36,31.46,57.26,64.99,58.09,1960,2108,1886
268,AMH,3.41,5.05,6.38,6.32,9.55,11.79,114,164,201
269,AMHR2,3.63,8.65,10.03,6.73,16.36,18.53,86,183,213
271,AMPD2,22.38,21.63,19.56,41.45,40.91,36.13,1566,1468,1271
272,AMPD3,0.09,0.09,0.24,0.17,0.17,0.45,7,7,18
273,AMPH,0.03,0,0.04,0.06,0,0.07,1,0,2
274,BIN1,25.5,31.63,32.49,47.22,59.84,60,980,1198,1183
275,AMT,0.29,0.97,0.92,0.54,1.84,1.7,10,34,32
